#,D1,D2,D3,D4,D5,D6,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Open-ended question,,,,,,,,,,,,,
77,Male,45,Private Enterprise,Technical Support,1,20 or more,1,3,4,4,5,5,4,5,4,5,5,5,4,No answer,,,,,,,,,,,,,
78,Male,45,Private Enterprise,Manager/Director,12,20 or more,3,2,3,3,4,5,4,5,4,5,4,4,4,"The lack or inefficiency of Steering Committee meetings, communication issues with sub-teams, budget planning, and human resource issues.",,,,,,,,,,,,,
79,Female,45,Private Enterprise,Owner,5,20 or more,3,3,3,4,4,4,4,4,4,5,4,4,4,"Inexperienced employees. Visionless management, the ""we can handle it"" mentality.",,,,,,,,,,,,,
80,Male,45,Mixed Enterprise (Public-Private partnership),Manager/Director,4,20 or more,2,2,2,1,4,4,4,4,4,5,5,5,4,No answer,,,,,,,,,,,,,
81,Male,45,Mixed Enterprise (Public-Private partnership),Project Manager,10,6 to 10,3,1,3,5,5,5,4,2,2,4,4,4,4,No answer,,,,,,,,,,,,,
82,Male,44,Private Enterprise,Manager/Director,4,20 or more,3,2,2,5,5,5,5,5,3,4,4,4,4,No answer,,,,,,,,,,,,,
83,Male,44,Private Enterprise,Manager/Director,2,20 or more,2,2,2,4,4,4,5,5,4,4,4,5,4,No answer,,,,,,,,,,,,,
84,Male,44,Private Enterprise,System Analyst,18,6 to 10,4,2,4,4,5,4,3,3,4,5,5,5,4,The failure to select the project team and company well. The failure to determine the project budget well. The inability to ensure continuity.,,,,,,,,,,,,,
85,Male,44,Private Enterprise,Owner,21,,3,3,3,3,1,3,1,1,1,5,5,5,5,The alignment of corporate and strategic goals with project goals. Support from top management. Clear determination of requirements and expectations.,,,,,,,,,,,,,
86,Male,43,Private Enterprise,Manager/Director,18,20 or more,2,2,4,4,4,4,4,5,5,5,4,5,4,The failure to allocate a budget for project management.,,,,,,,,,,,,,
87,Male,43,Private Enterprise,Manager/Director,8,20 or more,2,1,4,4,4,4,4,4,4,5,5,5,4,Time is always limited.,,,,,,,,,,,,,
88,Male,43,Mixed Enterprise (Public-Private partnership),System Architect,11,20 or more,2,2,4,4,5,4,4,5,4,5,5,4,4,No answer,,,,,,,,,,,,,
89,Male,43,Public Enterprise,System Engineer,12,1 to 5,4,2,4,4,4,5,4,5,3,5,5,4,4,No answer,,,,,,,,,,,,,
90,Male,42,Private Enterprise,Manager/Director,6,20 or more,2,3,4,4,5,5,5,4,5,5,5,5,5,"There should be harmony between all the project components in their respective areas of responsibility. The project manager's ability to see these details and the future and to continually compare them with the documented expectations of the customer is key to the project's success. Customer expectations may change over time, but these must be mutually confirmed in writing. Otherwise, the project will never end, and budget deficits will occur, leading to discord among those responsible for",,,,,,,,,,,,,
91,Male,42,Foreign Capital Enterprise,Manager/Director,5,20 or more,1,4,3,5,4,5,5,4,2,5,5,5,4,The inability to reach an agreement on the scope.,,,,,,,,,,,,,
92,Male,42,Private Enterprise,Consultant,6,20 or more,2,3,4,5,4,5,4,5,4,4,4,5,4,No answer,,,,,,,,,,,,,
93,Male,42,Private Enterprise,Manager/Director,6,6 to 10,3,1,3,4,4,4,4,4,5,5,5,4,3,No answer,,,,,,,,,,,,,
94,Male,42,Mixed Enterprise (Public-Private partnership),Software Developer,19,16 to 20,3,4,4,4,5,5,4,4,4,4,4,4,4,The failure to comply with project management techniques and criteria.,,,,,,,,,,,,,
95,Male,41,Private Enterprise,Manager/Director,11,20 or more,2,4,3,4,5,5,5,5,5,5,5,5,5,No answer,,,,,,,,,,,,,
96,Male,41,Private Enterprise,Software Developer,1,20 or more,3,2,2,4,5,5,5,5,4,5,5,5,4,An inexperienced team with untested equipment.,,,,,,,,,,,,,
97,Male,41,Mixed Enterprise (Public-Private partnership),System Analyst,12,1 to 5,4,2,2,4,4,5,5,5,5,5,5,4,4,No answer,,,,,,,,,,,,,
98,Male,40,Private Enterprise,Manager/Director,1,20 or more,2,4,4,4,4,4,4,5,4,5,5,5,4,Lack of ownership.,,,,,,,,,,,,,
99,Female,40,Private Enterprise,System Architect,8,20 or more,2,2,4,5,4,5,5,5,4,5,5,5,5,Departures from the project team due to the failure of company managers.,,,,,,,,,,,,,
100,Male,40,Mixed Enterprise (Public-Private partnership),Software Developer,12,6 to 10,2,1,5,4,3,5,5,5,4,4,4,4,4,No answer,,,,,,,,,,,,,
101,Male,40,Private Enterprise,Software Developer,18,6 to 10,2,3,4,5,3,2,3,1,1,5,4,4,4,No answer,,,,,,,,,,,,,
102,Male,40,Private Enterprise,Project Manager,12,20 or more,2,2,4,4,5,5,5,3,2,5,4,5,4,The inability to determine priorities.,,,,,,,,,,,,,
103,Male,40,Mixed Enterprise (Public-Private partnership),Project Manager,7,6 to 10,2,1,2,4,4,4,4,2,2,4,4,4,4,The project owners find the cost differences that arise as details emerge to be high and do not want to allocate more resources.,,,,,,,,,,,,,
104,Male,40,Public Enterprise,Technical Support,9,1 to 5,2,2,2,5,4,5,5,5,5,5,5,5,5,"The inability to determine the scope, inexperienced personnel both on the customer and project team sides, team incompatibility, and preparation of master data.",,,,,,,,,,,,,
105,Male,39,Private Enterprise,Manager/Director,9,20 or more,3,3,3,5,4,5,4,5,5,5,5,4,4,No answer,,,,,,,,,,,,,
106,Male,39,Private Enterprise,Project Manager,5,11 to 15,2,2,3,4,4,5,5,4,5,5,5,5,4,Managers are not providing the necessary support for the project.,,,,,,,,,,,,,
107,Male,38,Public Enterprise,Software Developer,7,1 to 5,2,2,5,5,4,4,4,3,3,5,5,5,4,"The integrator's failure to accurately determine the cost of the project when starting or taking the job, the failure to accurately determine the project's goals, focusing on profit rather than the project's success.",,,,,,,,,,,,,
108,Male,38,Foreign Capital Enterprise,Project Manager,15,1 to 5,2,2,3,4,4,5,4,5,5,4,4,4,4,No answer,,,,,,,,,,,,,
109,Male,38,Mixed Enterprise (Public-Private partnership),System Analyst,14,20 or more,2,3,4,4,5,5,5,4,5,5,5,5,5,Poor progress between the two parties.,,,,,,,,,,,,,
110,Male,38,Private Enterprise,System Architect,14,20 or more,2,3,4,4,4,4,4,4,4,5,5,4,4,No answer,,,,,,,,,,,,,
111,Male,38,Mixed Enterprise (Public-Private partnership),Project Manager,5,1 to 5,3,2,4,4,5,5,4,3,4,5,5,5,5,Scope definition.,,,,,,,,,,,,,
112,Female,37,Private Enterprise,Project Manager,3,20 or more,3,4,3,4,5,5,5,5,4,5,5,4,4,"Unqualified personnel, lack of education.",,,,,,,,,,,,,
113,Male,37,Mixed Enterprise (Public-Private partnership),System Architect,5,6 to 10,2,2,3,5,4,5,5,4,4,5,5,5,5,No answer,,,,,,,,,,,,,
114,Male,37,Private Enterprise,Manager/Director,2,11 to 15,3,1,3,4,4,4,5,4,3,5,5,4,4,No answer,,,,,,,,,,,,,
115,Male,37,Public Enterprise,System Architect,14,16 to 20,2,4,4,4,4,4,5,4,4,5,5,4,4,Technological dependency on external sources in IT projects is a reason for failure.,,,,,,,,,,,,,
116,Male,37,Public Enterprise,Manager/Director,2,20 or more,2,3,3,3,4,4,4,3,4,5,5,5,4,The pursuit of personal/group interests by managers or project participants in the public or private sector.,,,,,,,,,,,,,
117,Male,37,Private Enterprise,Sales Personnel,12,20 or more,2,2,4,4,2,4,3,2,2,5,5,5,4,No answer,,,,,,,,,,,,,
118,Male,37,Private Enterprise,Technical Support,12,6 to 10,2,4,3,4,4,5,5,5,5,5,5,5,4,"Product ownership (product owner) should exist on both the IT and business unit sides. Requirements should be clear and tracked item by item (RTM-requirement trace matrix). The project plan should be prepared with every detail considered. The project organization must be established, and all parties must be informed and approved. The project's schedule, organization, and organizational responsibility matrix (RACI) should be created, etc. The project should start with a kick-off meeting involving all stakeholders. Each stage of the project should be reported and have approval processes, such as analysis report approval, design approval, etc. Issues and risks should not be overlooked and should be managed well. The project team should consist of competent personnel from the business and IT sides. The project status should be monitored through routine weekly meetings, and risks and issues should be escalated.",,,,,,,,,,,,,
119,Male,37,Private Enterprise,Manager/Director,3,1 to 5,2,3,3,4,4,4,4,2,4,5,5,4,4,No answer,,,,,,,,,,,,,
120,Male,36,Private Enterprise,Manager/Director,9,11 to 15,2,3,4,5,5,5,5,5,5,5,5,5,5,No answer,,,,,,,,,,,,,
121,Male,36,Foreign Capital Enterprise,System Architect,17,1 to 5,2,2,3,5,5,5,4,5,4,5,5,5,4,No answer,,,,,,,,,,,,,
122,Male,36,Private Enterprise,Manager/Director,11,6 to 10,4,4,2,5,5,5,5,4,5,5,5,4,4,No answer,,,,,,,,,,,,,
123,Male,36,Private Enterprise,Software Expert,12,16 to 20,3,3,3,4,4,4,4,4,4,5,5,4,5,No answer,,,,,,,,,,,,,
124,Female,36,Private Enterprise,Project Manager,8,20 or more,4,2,2,4,5,5,5,5,5,4,4,5,5,"The failure to clearly define project stakeholders' roles and responsibilities and leave the process entirely to the project management team, avoiding taking responsibility.",,,,,,,,,,,,,
125,Male,35,Private Enterprise,Manager/Director,4,20 or more,3,3,3,4,2,4,4,4,4,4,4,4,4,No answer,,,,,,,,,,,,,
126,Male,35,Public Enterprise,Project Manager,2,1 to 5,2,4,3,5,4,5,5,5,5,5,5,5,4,"Creating project content and schedules in an unconscious, aggressive, and unrealistic manner also leads to failure.",,,,,,,,,,,,,
127,Male,35,Private Enterprise,Manager/Director,7,20 or more,2,3,3,5,4,4,5,4,5,4,4,4,4,"Starting on a large scale. Instead of progressing piece by piece, wanting to complete and deliver the whole project at once. Lack of know-how and experience. Not knowing what is happening in the world regarding such projects. Changes in the teams that start the projects. Changes in the authority that owns the project. The project not receiving sufficient support within the institution, even facing sabotage by staff resistant to change. Stakeholders are voicing their concerns not during the project's development stages but after completion, etc. I have been managing projects for 12 years. I have received two awards, both ETR and TBV. When a project starts, I can now see whether it will explode or fly.",,,,,,,,,,,,,
128,Female,34,Mixed Enterprise (Public-Private partnership),System Architect,14,6 to 10,3,1,2,4,4,5,5,4,5,5,5,5,4,No answer,,,,,,,,,,,,,
129,Male,34,Mixed Enterprise (Public-Private partnership),Manager/Director,15,20 or more,2,3,4,4,2,5,4,5,4,5,5,4,4,"a. Changes (developments) in requirements and expectations after technical analysis approval.
b. Requirement-product mismatch due to different interpretations or ambiguities in requests during technical analysis.
c. Poor team management, inexperienced team members, frequent staff turnover.
d. Lack of project coordination (between project sponsor, project manager, technical manager, and development teams).
e. Lack or incompetence in project management experience (the least common reason).
In order of most to least encountered reasons: a-most common, e-least common.",,,,,,,,,,,,,
130,Male,33,Public Enterprise,Security Expert,6,1 to 5,2,2,3,5,4,5,5,5,5,4,4,4,4,IT projects should be long-term projects that start with properly analyzing goals and objectives. Getting good results from IT projects that have been hastily concluded without a thorough feasibility analysis is impossible.,,,,,,,,,,,,,
131,Female,33,Private Enterprise,Test Engineer,7,20 or more,3,1,4,4,5,5,5,3,5,5,5,5,5,The attitude of managers.,,,,,,,,,,,,,
132,Female,32,Private Enterprise,Network Architecture Expert,9,20 or more,2,2,4,4,4,4,4,4,4,5,5,5,5,The business units' mastery of their work and their harmonious collaboration with software units is the golden rule that is indispensable for success. The failure to ensure this basic rule often results in project failure.,,,,,,,,,,,,,
133,Female,30,Private Enterprise,Sales Personnel,5,20 or more,2,4,4,4,4,5,5,4,4,5,5,4,4,No answer,,,,,,,,,,,,,
134,Male,29,Private Enterprise,Security Engineer,6,20 or more,3,2,3,5,5,5,5,5,5,5,5,4,4,No answer,,,,,,,,,,,,,
135,Male,28,Private Enterprise,Technical Support,4,11 to 15,5,2,3,4,5,4,5,5,3,5,4,4,5,No answer,,,,,,,,,,,,,
136,Male,28,Private Enterprise,Project Manager,1,6 to 10,3,2,3,4,5,5,4,4,4,4,4,4,5,No answer,,,,,,,,,,,,,
137,Male,28,Private Enterprise,Project Manager,3,1 to 5,2,4,4,4,4,4,4,4,4,5,5,5,4,Cost constraints and lack of scaling.,,,,,,,,,,,,,
138,Female,27,Private Enterprise,Software Developer,2,1 to 5,3,2,2,4,4,4,4,5,5,5,5,4,5,Not delivering expectations to the customer on time and changing needs during the process.,,,,,,,,,,,,,
